gutenberg_id,title,author,lccn,wikipedia_url,publication_year,era
68544,St. Cuthbert's tower,Florence Warden,,,1889,Victorian
71756,The humour of Russia,"E. L. Voynich, S. Stepniak, and Paul Frenzeny",01022381,,1895,Victorian
68103,Twenty years at sea: Leaves from my old log-books,Frederic Stanhope Hill,11021844,,1893,Victorian
271,Black Beauty,Anna Sewell,,https://en.wikipedia.org/wiki/Black_Beauty,1877,Victorian
44990,Torpedoes and Torpedo Warfare,Charles William Sleeman,11031435,,1880,Victorian
74050,The Prem sagur,active 17th century Caturbhujamisra,,,1848,Victorian
41011,Pony Tracks,Frederic Remington,01021695,,1895,Victorian
29816,The Industries of Animals,Frédéric Houssay,01024380,,1893,Victorian
68270,A History of the 17th Lancers (Duke of Cambridge's Own),Sir J. W. Fortescue,46044184,,1895,Victorian
45660,"Life and adventures of Frank and Jesse James, the noted western outlaws",Dacus,11027015,,1880,Victorian
58623,Open Letter to President McKinley,Colored People of Massachusetts,12002899,,1899,Victorian
55566,I Go A-Marketing,Henrietta Sowle,00006709,,1900,Victorian
68517,Auld lang syne,F. Max Müller,,,1898,Victorian
58137,Lawn-tennis,James Dwight,05023538,,1886,Victorian
69288,"Treatment of hemorrhoids, and other non-malignant rectal diseases",W. P. Agnew,07037816,,1890,Victorian
57715,Footsteps of Dr. Johnson (Scotland),George Birkbeck Norman Hill,44017655,,1890,Victorian
38022,Nature and Culture,Harvey Rice,08033400,,1890,Victorian
30577,Told in the Coffee House: Turkish Tales,Cyrus Adler and Allan Ramsay,05042180,,1898,Victorian
1018,The Water-Babies,Charles Kingsley,,https://en.wikipedia.org/wiki/The_Water-Babies,1863,Victorian
62526,"""Let Us Have Peace""",Logan H. Roots,09012020,,1869,Victorian
8157,Esther Waters,George Moore,,https://en.wikipedia.org/wiki/Esther_Waters,1894,Victorian
55809,"The Squirrel Hunters of Ohio; or, Glimpses of Pioneer Life",N. E. Jones,rc01002341,,1898,Victorian
53613,A Historical Account of Useful Inventions and Scientific Discoveries,Grant,43043255,,1852,Victorian
70138,Wanderings of a beauty : A tale of the real and the ideal,Mrs. Edwin James,,,1863,Victorian
30589,The Continental Dragoon,Robert Neilson Stephens,08034327,,1898,Victorian
72898,"The winners in life's race : Or, the great backboned family",Arabella B. Buckley,,,1883,Victorian
35581,Personal Recollections of Chickamauga,James R. Carnahan,18002845,,1886,Victorian
38500,The Great Painters' Gospel,Henry Turner Bailey,01029425,,1900,Victorian
70725,The Republic of Costa Rica,Gustavo Niederlein,,,1898,Victorian
