gutenberg_id,title,author,publication_year,era,decade
18972,"Zadig; Or, The Book of Fate",Voltaire,1747,Age of Reason,1740s
29412,"The Phantom World; or, The philosophy of spirits, apparitions, &c, &c.",Calmet,1746,Age of Reason,1740s
69818,An essay towards a natural history of serpents,Charles Owen,1742,Age of Reason,1740s
54911,An Account of the Sore Throat Attended With Ulcers,John Fothergill,1748,Age of Reason,1740s
27884,Niels Klim's journey under the ground,Ludvig Holberg,1741,Age of Reason,1740s
32171,A Discourse on the Plague,Richard Mead,1744,Age of Reason,1740s
39270,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1759,Age of Reason,1750s
35708,A Character of King Charles the Second,Marquis of George Savile Halifax,1750,Age of Reason,1750s
16267,The Gamester (1753),Edward Moore,1753,Age of Reason,1750s
19212,"The History of England in Three Volumes, Vol. I., Part B.",David Hume,1754,Age of Reason,1750s
69983,An original theory or new hypothesis of the universe,Thomas Wright,1750,Age of Reason,1750s
66230,An Address to the People of New-England,Samuel Hopkins,1757,Age of Reason,1750s
1146,The Journal of a Voyage to Lisbon,Henry Fielding,1755,Age of Reason,1750s
75052,"A new account of Guinea, and the slave-trade",William Snelgrave,1754,Age of Reason,1750s
68412,"Philosophical transactions, Vol. L. Part II. For the year 1758.",Various et al.,1759,Age of Reason,1750s
17368,Heaven and its Wonders and Hell,Emanuel Swedenborg,1758,Age of Reason,1750s
13884,"The History of Sir Charles Grandison, Volume 4 (of 7)",Samuel Richardson,1753,Age of Reason,1750s
6761,The Adventures of Ferdinand Count Fathom — Complete,T. Smollett,1753,Age of Reason,1750s
63322,"The Philosophy of Earthquakes, Natural and Religious",William Stukeley,1750,Age of Reason,1750s
30123,Micromegas,Voltaire,1752,Age of Reason,1750s
67011,A poem on the earthquake at Lisbon,John Biddolf,1755,Age of Reason,1750s
15606,The Life of the Truly Eminent and Learned Hugo Grotius,M. de Burigny,1754,Age of Reason,1750s
51459,The Analysis of Beauty,William Hogarth,1753,Age of Reason,1750s
652,"Rasselas, Prince of A",ssinia ,1759,Age of Reason,1750s
51334,The Story of Elizabeth Canning Considered,John Hill,1753,Age of Reason,1750s
74741,"Horse-hoeing husbandry : or, an essay on the principles of vegetation and tillage. Designed to introduce a new method of culture; whereby the produce of land will be increased, and the usual expence lessened. Together with accurate descriptions and cuts of the instruments employed in it.",Jethro Tull,1762,Age of Reason,1760s
35624,"A Philosophical Dictionary, Volume 04",Voltaire,1764,Age of Reason,1760s
45941,"Reliques of Ancient English Poetry, Volume 3 (of 3)",Percy and Wheatley,1765,Age of Reason,1760s
6758,The Adventures of Sir Launcelot Greaves,T. Smollett,1760,Age of Reason,1760s
59729,An Account of the Destruction of the Jesuits in France,Jean Le Rond d' Alembert,1766,Age of Reason,1760s
2667,The Vicar of Wakefield,Oliver Goldsmith,1766,Age of Reason,1760s
30802,"Commentaries on the Laws of England, Book the First",Sir William Blackstone,1765,Age of Reason,1760s
8646,"An Essay on the History of Civil Society, Eighth Edition",Adam Ferguson,1767,Age of Reason,1760s
804,A Sentimental Journey Through France and Italy,Laurence Sterne,1768,Age of Reason,1760s
14013,Almoran and Hamet: An Oriental Tale,John Hawkesworth,1761,Age of Reason,1760s
48528,The great probability of a North West Passage,Drage and Swaine,1768,Age of Reason,1760s
16300,The History of Emily Montague,Frances Brooke,1769,Age of Reason,1760s
60058,Giphantia,Charles-François Tiphaigne de La Roche,1760,Age of Reason,1760s
696,The Castle of Otranto,Horace Walpole,1764,Age of Reason,1760s
5427,Emile,Jean-Jacques Rousseau,1762,Age of Reason,1760s
26050,A Description of Millenium Hall,Sarah Scott,1762,Age of Reason,1760s
2663,Minna Von Barnhelm,Gotthold Ephraim Lessing,1767,Age of Reason,1760s
56487,An Apology for the True Christian Divinity,Robert Barclay,1765,Age of Reason,1760s
72554,A short introduction to English grammar : with critical notes,Robert Lowth,1762,Age of Reason,1760s
39044,"Advice to the people in general, with regard to their health",S. A. D. Tissot,1765,Age of Reason,1760s
34544,This is not a Story,Denis Diderot,1772,Age of Reason,1770s
36257,The Fatal Falsehood: A Tragedy. In Five Acts,Hannah More,1779,Age of Reason,1770s
29734,Experiments and Observations on Different Kinds of Air,Joseph Priestley,1774,Age of Reason,1770s
59698,Observations on antimony,John Millar,1774,Age of Reason,1770s
72737,"Travels into North America, Volume 3 (of 3)",Pehr Kalm,1770,Age of Reason,1770s
30271,The Grecian Daughter,Arthur Murphy,1772,Age of Reason,1770s
49840,The Present Method of Inoculating for the Small-Pox,Thomas Dimsdale,1779,Age of Reason,1770s
35433,"Observations on Mount Vesuvius, Mount Etna, and Other Volcanos",Hamilton,1774,Age of Reason,1770s
50108,A Father's Legacy to His Daughters,John Gregory,1774,Age of Reason,1770s
69351,Lectures on the constitution and laws of England,Francis Stoughton Sullivan,1776,Age of Reason,1770s
5098,"Lives of the English Poets : Waller, Milton, Cowley",Samuel Johnson,1779,Age of Reason,1770s
4583,Dialogues Concerning Natural Religion,David Hume,1779,Age of Reason,1770s
49602,The Lame Lover: A Comedy in Three Acts,Samuel Foote,1770,Age of Reason,1770s
3755,Common Sense,Thomas Paine,1776,Age of Reason,1770s
2160,The Expedition of Humphry Clinker,T. Smollett,1771,Age of Reason,1770s
3300,An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,1776,Age of Reason,1770s
733,History of the Decline and Fall of the Roman Empire — Volume 3,Edward Gibbon,1776,Age of Reason,1770s
15850,Iphigenia in Tauris,Johann Wolfgang von Goethe,1779,Age of Reason,1770s
3820,Nathan the Wise; a dramatic poem in five acts,Gotthold Ephraim Lessing,1779,Age of Reason,1770s
68077,Observations on the Operation and Use of Mercury in the Venereal Disease,Duncan,1772,Age of Reason,1770s
74536,"William Sedley : or, the evil day deferred",Mary Ann Kilner,1783,Age of Reason,1780s
68362,Memorials of Human Superstition,Jean Louis de Lolme,1784,Age of Reason,1780s
18,The Federalist Papers,"Alexander Hamilton, John Jay, and James Madison",1787,Age of Reason,1780s
8683,The Columbiad: A Poem,Joel Barlow,1787,Age of Reason,1780s
49637,Account of the Russian Discoveries between Asia and America,William Coxe,1780,Age of Reason,1780s
34601,"Gammer Gurton's Garland; Or, The Nursery Parnassus",Joseph Ritson,1784,Age of Reason,1780s
36507,Mary Wollstonecraft's Original Stories,Mary Wollstonecraft,1788,Age of Reason,1780s
1945,Egmont,Johann Wolfgang von Goethe,1788,Age of Reason,1780s
69178,An account of the slave trade on the coast of Africa,Alexander Falconbridge,1788,Age of Reason,1780s
73958,Thoughts on the mechanism of societies,marquis de Charles Casaux,1786,Age of Reason,1780s
2423,"Anecdotes of the late Samuel Johnson, LL.D.",Hester Lynch Piozzi,1786,Age of Reason,1780s
36621,"Inkle and Yarico: An opera, in three acts",George Colman,1787,Age of Reason,1780s
69922,"Dairying exemplified, or, The business of cheese-making",J. Twamley,1787,Age of Reason,1780s
17672,"The Botanical Magazine, Vol. 03",William Curtis,1787,Age of Reason,1780s
36575,"The Count of Narbonne: A Tragedy, in Five Acts",Robert Jephson and Horace Walpole,1781,Age of Reason,1780s
3908,The Confessions of Jean Jacques Rousseau — Volume 08,Jean-Jacques Rousseau,1782,Age of Reason,1780s
38653,"Such Things Are: A Play, in Five Acts",Mrs. Inchbald,1787,Age of Reason,1780s
52821,Kant's Prolegomena to Any Future Metaphysics,Immanuel Kant,1783,Age of Reason,1780s
57691,Index of the Project Gutenberg Memoirs of Casanova,Giacomo Casanova,1789,Age of Reason,1780s
45512,"Dangerous Connections, v. 1, 2, 3, 4",Choderlos de Laclos,1782,Age of Reason,1780s
74978,The botanist's repository for new and rare plants; vol. 09 [of 10],Andrews,1797,Age of Reason,1790s
67532,"The Confessions of the Celebrated Countess of Lichtenau, Late Mrs. Rietz",Husen,1799,Romantic,1790s
601,The Monk: A Romance,M. G. Lewis,1796,Age of Reason,1790s
1958,Hermann and Dorothea,Johann Wolfgang von Goethe,1796,Age of Reason,1790s
11729,"Life of Johnson, Volume 6",James Boswell,1791,Age of Reason,1790s
44416,A Collection of Essays and Fugitiv Writings,Noah Webster,1790,Age of Reason,1790s
39060,"Wild Oats; or, The Strolling Gentlemen",John O'Keeffe,1791,Age of Reason,1790s
171,Charlotte Temple,Mrs. Rowson,1791,Age of Reason,1790s
67815,Hilaria. The Festive Board,Charles Morris,1798,Romantic,1790s
32239,Dissertation on Slavery,St. George Tucker,1796,Age of Reason,1790s
4554,Lovers' Vows,August von Kotzebue and Mrs. Inchbald,1798,Romantic,1790s
49817,"A Tour Up the Straits, from Gibraltar to Constantinople",Captain David Sutherland,1790,Age of Reason,1790s
37774,Considerations on Religion and Public Education,Hannah More,1794,Age of Reason,1790s
10671,"The Botanic Garden. Part 2, Containing the Loves of the Plants. A Poem.",Darwin,1791,Age of Reason,1790s
49567,"An account of the plague which raged at Moscow, in 1771",Charles de Mertens,1799,Romantic,1790s
946,Lady Susan,Jane Austen,1794,Age of Reason,1790s
53323,"Evenings at Home; Or, The Juvenile Budget Opened",John Aikin and Mrs. Barbauld,1796,Age of Reason,1790s
68481,"Young Grandison, volume 1 (of 2)",Madame de Cambon,1790,Age of Reason,1790s
3787,Nature and Art,Mrs. Inchbald,1796,Age of Reason,1790s
46820,Experiments and Observations Relative to the Influence Lately Discovered,M.…,1793,Age of Reason,1790s
3023,Faust — Part 1,Johann Wolfgang von Goethe,1808,Romantic,1800s
8824,"Poems in Two Volumes, Volume 2",William Wordsworth,1807,Romantic,1800s
13042,"Knickerbocker's History of New York, Complete",Washington Irving,1809,Romantic,1800s
29230,"The Indian Princess; Or, La Belle Sauvage",James Nelson Barker,1808,Romantic,1800s
156,"Symphony No. 5 in C minor, Opus 67",Ludwig van Beethoven,1808,Romantic,1800s
28880,Recollections of a Tour Made in Scotland A.D. 1803,Dorothy Wordsworth,1803,Romantic,1800s
6792,The Maid of Orleans: A Tragedy,Friedrich Schiller,1801,Romantic,1800s
31879,Coelebs In Search of a Wife,Hannah More,1808,Romantic,1800s
21823,The Butterfly's Ball and the Grasshopper's Feast,Ballantyne and Roscoe,1802,Romantic,1800s
57267,An Account of the Late Improvements in Galvanism,Giovanni Aldini,1803,Romantic,1800s
10681,Roget's Thesaurus of English Words and Phrases,Peter Mark Roget,1805,Romantic,1800s
69055,John de Lancaster: a novel; vol. I.,Richard Cumberland,1809,Romantic,1800s
6566,Thaddeus of Warsaw,Jane Porter,1803,Romantic,1800s
70437,The eagle's masque,active approximately 1808 Tom Tit,1808,Romantic,1800s
52077,"Corinne; or, Italy",Madame de Staël,1807,Romantic,1800s
68916,"Modern literature: a novel, Volume 2 (of 3)",Robert Bisset,1804,Romantic,1800s
48915,Account of the Skeleton of the Mammoth,Rembrandt Peale,1802,Romantic,1800s
70266,Lyrical tales,Mary Robinson,1800,Romantic,1800s
45592,Reflections on the Rise and Fall of the Ancient Republicks,Montagu,1806,Romantic,1800s
71396,"Lady Maclairn, the victim of villany : A novel, volume 3 (of 4)",Mrs. Hunter,1806,Romantic,1800s
48757,The Scientific Tourist through Ireland,Thomas Walford,1818,Romantic,1810s
105,Persuasion,Jane Austen,1818,Romantic,1810s
36939,Free Trade with India,active 1813 Common sense,1813,Romantic,1810s
66350,"The Remains of Hesiod the Ascræan, Including the Shield of Hercules",Hesiod,1815,Romantic,1810s
53510,Sketch of the Sikhs,John Malcolm,1812,Romantic,1810s
41659,The Swiss Family Robinson: A Translation from the Original German,Wyss,1812,Romantic,1810s
48742,The Missionary: An Indian Tale; vol. I,Lady Morgan,1811,Romantic,1810s
5085,Characters of Shakespeare's Plays,William Hazlitt,1817,Romantic,1810s
43065,The Heroine,Eaton Stannard Barrett,1813,Romantic,1810s
40868,The World as Will and Idea (Vol. 3 of 3),Arthur Schopenhauer,1818,Romantic,1810s
84,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,1818,Romantic,1810s
38369,A Journal of Two Campaigns of the Fourth Regiment of U.S. Infantry,Adam Walker,1816,Romantic,1810s
11703,The Swiss Family Robinson; or Adventures in a Desert Island,Johann David Wyss,1812,Romantic,1810s
37438,"The Wanderer; or, Female Difficulties (Volume 2 of 5)",Fanny Burney,1814,Romantic,1810s
31253,A Morning's Walk from London to Kew,Sir R. Phillips,1817,Romantic,1810s
5314,Household Tales,Brothers Grimm ,1812,Romantic,1810s
9909,Nightmare Abbey,Thomas Love Peacock,1818,Romantic,1810s
40746,First Impressions on a Tour upon the Continent,Marianne Baillie,1819,Romantic,1810s
48960,Travels in Brazil,Henry Koster,1816,Romantic,1810s
37116,History of the Buccaneers of America,James Burney,1816,Romantic,1810s
54485,Symzonia: Voyage of Discovery,Captain Adam Seaborn,1820,Romantic,1820s
7622,Pelham — Volume 08,Baron Edward Bulwer Lytton Lytton,1828,Romantic,1820s
44330,Valerius. A Roman Story,J. G. Lockhart,1821,Romantic,1820s
24293,Christian Devotedness,Anthony Norris Groves,1825,Romantic,1820s
50010,"Under Sentence of Death; Or, a Criminal's Last Hours",Victor Hugo,1829,Romantic,1820s
21201,Journal of a Voyage to Brazil,Lady Maria Callcott,1824,Romantic,1820s
32223,Specimens of German Romance; Vol. II. Master Flea,E. T. A. Hoffmann,1822,Romantic,1820s
1310,The Annals of the Parish,John Galt,1821,Romantic,1820s
39872,"The Three Perils of Man; or, War, Women, and Witchcraft, Vol. 2 (of 3)",Hogg,1822,Romantic,1820s
40419,The Adventures and Vagaries of Twm Shôn Catti,T. J. Llewelyn Prichard,1828,Romantic,1820s
67526,Letters on the Moral and Religious State of South America,D.D. James Thomson,1827,Romantic,1820s
29372,A Discourse on the Study of the Law of Nature and Nations,Sir James Mackintosh,1828,Romantic,1820s
68824,"Lewesdon Hill, with other poems",William Crowe,1827,Romantic,1820s
50653,Travels in the interior of Brazil,John Mawe,1822,Romantic,1820s
21331,The Adventures of Hajji Baba of Ispahan,James Justinian Morier,1824,Romantic,1820s
54043,The Life of Cardinal Wolsey,George Cavendish,1827,Romantic,1820s
48539,A System of Pyrotechny,James Cutbush,1825,Romantic,1820s
28323,"Travels in North America, From Modern Writers",William Bingley,1821,Romantic,1820s
34238,Rural Rides,William Cobbett,1822,Romantic,1820s
67107,"The Honey-Bee: Its Natural History, Physiology and Management",Edward Bevan,1827,Romantic,1820s
67790,The Mirror of the Graces,active 19th century Lady of distinction,1831,Romantic,1830s
41014,"Abolition a Sedition,",a Northern Man ,1839,Victorian,1830s
37817,The Cries of London,John Thomas Smith,1839,Victorian,1830s
44377,Natural History,Francis L. Hawks,1833,Romantic,1830s
42089,Abolitionism Exposed!,W. W. Sleigh,1838,Victorian,1830s
34160,"Lives of Eminent Zoologists, from Aristotle to Linnæus",William MacGillivray,1834,Romantic,1830s
47169,Buenos Ayres and the Provinces of the Rio de La Plata,Sir Woodbine Parish,1839,Victorian,1830s
27394,A New Guide for Emigrants to the West,John Mason Peck,1836,Romantic,1830s
46709,Memoirs of Joseph Grimaldi,Joseph Grimaldi,1838,Victorian,1830s
68457,Right and wrong in Massachusetts,Maria Weston Chapman,1839,Victorian,1830s
72437,The life of Poggio Bracciolini,William Shepherd,1837,Victorian,1830s
64998,Practical Phrenology Simplified,Theodore Foster,1838,Victorian,1830s
63358,"Memoir of Roger Williams, the Founder of the State of Rhode-Island",Knowles,1834,Romantic,1830s
65068,"Terrible Tractoration, and Other Poems",Thomas Green Fessenden,1836,Romantic,1830s
33224,Principles of Geology,Sir Charles Lyell,1830,Romantic,1830s
74401,"Elkswatawa : or, The prophet of the west. A tale of the frontier",French,1836,Romantic,1830s
67386,A Preliminary Dissertation on the Mechanisms of the Heavens,Mary Somerville,1832,Romantic,1830s
47531,"Oliver Twist, Vol. 3 (of 3)",Charles Dickens,1837,Victorian,1830s
28053,Celebration in Baltimore of the Triumph of Liberty in France,William Wirt,1830,Romantic,1830s
33089,"Kalevala, The Land of the Heroes, Volume Two",Elias Lönnrot and W. F. Kir,1835,Romantic,1830s
65041,Phrenology Examined,P. Flourens,1846,Victorian,1840s
37471,"Mind Amongst the Spindles. A Miscellany, Wholly Composed",the Factory Girls,1845,Victorian,1840s
30486,Shirley,Charlotte Brontë,1849,Victorian,1840s
56220,"Historical record of the Seventh Regiment, or the Royal Fusiliers",Richard Cannon,1847,Victorian,1840s
74050,The Prem sagur,active 17th century Caturbhujamisra,1848,Victorian,1840s
27732,"City Crimes; Or, Life in New York and Boston",George Thompson,1849,Victorian,1840s
61587,The Old Church Clock,Richard Parkinson,1843,Victorian,1840s
7116,Vestiges of the Natural History of Creation,Robert Chambers,1844,Victorian,1840s
56211,"Recollections of Rifleman Harris, (Old 95th.)",Benjamin Harris,1848,Victorian,1840s
8743,"Mary Schweidler, the amber witch",Wilhelm Meinhold,1845,Victorian,1840s
50778,William of Malmesbury's Chronicle of the Kings of England,of Malmesbury William,1847,Victorian,1840s
39093,Life of Beethoven,Anton Schindler,1841,Victorian,1840s
40654,A System of Midwifery,Edward Rig,1841,Victorian,1840s
41173,Address to the Non-Slaveholders of the South,Lewis Tappan,1849,Victorian,1840s
50534,The Three Impostors,"Lucas, Arpe, Aymon, La Monnoye, Rousset de Missy, and Vroese",1846,Victorian,1840s
14565,"Cosmos: A Sketch of the Physical Description of the Universe, Vol. 1",Humboldt,1845,Victorian,1840s
59828,"The String of Pearls; Or, The Barber of Fleet Street. A Domestic Romance.",Rymer et al.,1846,Victorian,1840s
41332,Ten Thousand a-Year. Volume 2.,Samuel Warren,1841,Victorian,1840s
38644,Gleanings,the Way ,1842,Victorian,1840s
38951,The Curiosities of Heraldry,Mark Antony Lower,1845,Victorian,1840s
39702,The philosophy of mathematics,Auguste Comte,1851,Victorian,1850s
13552,"Ceylon; an Account of the Island Physical, Historical, and",Tennent,1859,Victorian,1850s
50620,Vagabond Life in Mexico,Gabriel Ferry,1856,Victorian,1850s
27293,A sketch of the life and services of Gen. Otho Holland Williams,Osmond Tiffany,1851,Victorian,1850s
64905,The Child's Pictorial History of England,Miss Corner,1853,Victorian,1850s
30489,Phrenological Development of Robert Burns,George Combe,1859,Victorian,1850s
61992,"Norðurfari; or, Rambles in Iceland",Pliny Miles,1854,Victorian,1850s
20636,"The Military Journals of Two Private Soldiers, 1758-1775",Abraham Tomlinson,1855,Victorian,1850s
54886,Brazil and La Plata: The personal record of a cruise,C. S. Stewart,1856,Victorian,1850s
61652,Physical Geography,Mary Somerville,1850,Victorian,1850s
69329,The Song of Songs,Christian D. Ginsburg,1857,Victorian,1850s
16941,The Hidden Words of Bahá'u'lláh,Bahá'u'lláh,1857,Victorian,1850s
4606,It Is Never Too Late to Mend,Charles Reade,1856,Victorian,1850s
57060,"London Labour and the London Poor, Vol. 3",Henry Mayhew,1851,Victorian,1850s
53952,"Impressions of England; or, Sketches of English Scenery and Society",Coxe,1856,Victorian,1850s
60066,Kiana: a Tradition of Hawaii,James Jackson Jarves,1857,Victorian,1850s
1346,The Eighteenth Brumaire of Louis Bonaparte,Karl Marx,1852,Victorian,1850s
68531,Elfin land: and other poems,Benjamin West Ball,1851,Victorian,1850s
47231,Who was the Commander at Bunker Hill?,Samuel Swett,1850,Victorian,1850s
3701,Letters from High Latitudes,Dufferin and Ava,1856,Victorian,1850s
35700,"My Cave Life in Vicksburg, with Letters of Trial and Travel",Loughborough,1864,Victorian,1860s
50544,The Life of General Garibaldi,Giuseppe Garibaldi,1861,Victorian,1860s
71224,Twenty-five years in the West,E. Manford,1867,Victorian,1860s
17797,Memoir of Jane Austen,James Edward Austen-Leigh,1869,Victorian,1860s
68677,Timid Lucy,Sarah S. Baker,1862,Victorian,1860s
8,Abraham Lincoln's Second Inaugural Address,Abraham Lincoln,1865,Victorian,1860s
64352,The Illustrated Horse Doctor,Edward Mayhew,1862,Victorian,1860s
57605,Tales from the Operas,George Frederick Pardon,1864,Victorian,1860s
50313,Some Recollections of Our Antislavery Conflict,Samuel J. May,1869,Victorian,1860s
26150,The Proverbs of Scotland,Alexander Hislop,1868,Victorian,1860s
21943,Peter Schlemihl,Adelbert von Chamisso,1861,Victorian,1860s
70253,James Sherman Kimball : A sketch,James William Kimball,1865,Victorian,1860s
36048,"Martine's Hand-book of Etiquette, and Guide to True Politeness",Arthur Martine,1866,Victorian,1860s
47190,"Foot-prints of a letter carrier; or, a history of the world's correspondece",Rees,1866,Victorian,1860s
3176,The Innocents Abroad,Mark Twain,1869,Victorian,1860s
71663,The life and works of Sir Charles Barry,Alfred Barry,1867,Victorian,1860s
71575,The hand-book of artillery,Joseph Roberts,1861,Victorian,1860s
928,Alice's Adventures in Wonderland,Lewis Carroll,1865,Victorian,1860s
49477,The Great Victory—Its Cost and Its Value,M. Russell Thayer,1865,Victorian,1860s
41975,A Dictionary of the First or Oldest Words in the English Language,Coleridge,1862,Victorian,1860s
16872,Percy Bysshe Shelley as a Philosopher and Reformer,Charles Sotheran,1876,Victorian,1870s
33483,The Eruption of Vesuvius in 1872,Luigi Palmieri,1873,Victorian,1870s
72170,"The sailor hero : or, The frigate and the lugger",F. C. Armstrong,1875,Victorian,1870s
49851,"Preston Fight; or, The Insurrection of 1715",William Harrison Ainsworth,1875,Victorian,1870s
47463,Wintering in the Riviera,William James Miller,1879,Victorian,1870s
6062,Pike County Ballads and Other Poems,John Hay,1871,Victorian,1870s
25905,The $100 Prize Essay on the Cultivation of the Potato.,D. A. Compton,1870,Victorian,1870s
57441,The Underground World: A mirror of life below the surface,Thomas Wallace Knox,1877,Victorian,1870s
60744,The Footprints of Time,Charles Bancroft,1875,Victorian,1870s
71711,Tales out of school,Frank R. Stockton,1875,Victorian,1870s
38138,Socialism,John Stuart Mill,1879,Victorian,1870s
74763,Lost Gip,Hesba Stretton,1873,Victorian,1870s
39686,North American Stone Implements,Charles Rau,1873,Victorian,1870s
56028,The Romance of the Harem,Anna Harriette Leonowens,1873,Victorian,1870s
8080,A Passionate Pilgrim,Henry James,1871,Victorian,1870s
63673,Narrative of My Captivity Among the Sioux Indians,Fanny Kelly,1871,Victorian,1870s
15263,The Underground Railroad,William Still,1872,Victorian,1870s
48868,"Georgia: Its History, Condition and Resources",Samuel Adams Drake,1879,Victorian,1870s
